n.id,n.label_en,n.label_tr,common,good for breakfast,"1 = all, 2= Dutch, 3= Turkish, 4=USA"
ingredient#nevo:73,Cabbage sauerkraut,Lahana turşusu,1,,
ingredient#nevo:74,Cabbage sauerkraut cooked,"Lahana turşusu, haşlanmış",1,,
ingredient#nevo:131,Gherkins sour pickled,"Kornişon, ekşi, turşu",1,,
ingredient#nevo:132,Gherkins sweet pickled,"Kornişon, tatlı, turşu",1,,
ingredient#nevo:136,Peas and carrots tinned,"Bezelye ve havuç, konserve",1,,
ingredient#nevo:141,Tomato puree concentrated tinned,"Domates püresi, konsantre, konserve",1,,
ingredient#nevo:144,Silver-skin onion sweet pickled glass,"Tatlı soğan, gümüş renkli, turşu",1,,
ingredient#nevo:674,Antroewa,Afrika patlıcanı,1,,
ingredient#nevo:675,Dagoe leaf,Dagoe yaprağı,0,,
ingredient#nevo:676,Kaisoi,Kaisoi,1,,
ingredient#nevo:677,Amaranth leaves,Amaranth yaprakları,0,,
ingredient#nevo:680,Okra,Bamya,1,,
ingredient#nevo:681,Bottlegourd poeng,Bottlegourd Poeng,0,,
ingredient#nevo:682,Pumpkin,Kabak,1,,
ingredient#nevo:683,Bitter gourd pods,Acı kabak bölmeler,1,,
ingredient#nevo:684,Tannia leaves,Tannia yaprakları,0,,
ingredient#nevo:849,Fennel,Rezene,1,,
ingredient#nevo:850,Vegetables mixed pickled Atjar tjampoer glass,"Sebze turşusu, karışık",1,,
ingredient#nevo:922,Courgettes,Kabak,1,,
ingredient#nevo:966,Courgettes boiled,"Kabak, haşlanmış",1,,
ingredient#nevo:1119,Peas extra fine low sodium tinned,"Bezelye, düşük sodyum, konserve",1,,
ingredient#nevo:1139,Peas and carrots frozen unprepared,"Bezelye ve havuç, dondurulmuş",1,,
ingredient#nevo:1146,Spinach cut frozen unprepared,"Ispanak, kesme, dondurulmuş",1,,
ingredient#nevo:1158,Onion silver-skin sweet pickled low sodium glass,"Soğan, gümüş renkli, tatlı, turşu, düşük sodyum",1,,
foodkg:ingredient#01082,"Milk, lactose free, low fat (1%)","Süt, laktoz içermeyen, düşük yağlı (% 1)",1,,
ingredient#nevo:1159,Onion silverskin sweet pickled wo sugar glass,"Soğan, gümüş deri, tatlı, turşu, şekersiz",1,,
ingredient#nevo:1160,Gherkins pickled without sugar,"Kornişon, şekersiz, turşu",1,,
ingredient#nevo:1187,Bamboo shoots tinned,"Bambu sürgünler, konserve",0,,
foodkg:ingredient#01085,"Milk, lactose free, fat free (skim)","Süt, laktozsuz, yağsız",1,,
ingredient#nevo:1371,Vegetables pickled Turkish Tursu,"Sebze turşusu, Türk usulü",1,,
ingredient#nevo:1393,Onions fried in vegetable oil,"Soğan, bitkisel yağda kızartılmış",1,,
ingredient#nevo:1394,Mushroom fried in vegetable oil with salt,"Mantar, tuz, bitkisel yağda kızartılmış",1,,
ingredient#nevo:1397,Tomatoes stewed with vegetable oil,"Domates, bitkisel yağ pişirilmiş",1,,
ingredient#nevo:1399,Lettuce iceberg,"Marul, kıvırcık",1,,
ingredient#nevo:1811,Beans long yard Kousenband boiled,"Fasulye, haşlanmış",1,,
ingredient#nevo:1892,Cabbage pak-choi,"Lahana, pak-Choi",1,,
ingredient#nevo:2113,Pumpkin boiled,"Kabak, haşlanmış",1,,
ingredient#nevo:2293,Tomatoes tinned,"Domates, konserve",1,,
ingredient#nevo:2378,Tomato sun-dried,"Domates, güneşte kurutulmuş",1,,
ingredient#nevo:2402,Capers,Kapari,1,,
ingredient#nevo:2498,Tomato sieved pack,Domates püresi,1,,
foodkg:ingredient#01097,"Milk, evaporated, fat free (skim)","Süt, yağsız",1,,
ingredient#nevo:2736,Rocket,Roka,1,,
ingredient#nevo:2900,Sweetcorn tinned,"Mısır, konserve",1,,
ingredient#nevo:3127,Parsnip,Yabani havuç,1,,
ingredient#nevo:3128,Parsnip boiled,"Yabani havuç, haşlanmış",1,,
ingredient#nevo:3134,Bitter gourd pods boiled,"Acı kabak bölmeler, haşlanmış",1,,
ingredient#nevo:3135,Okra boiled,"Bamya, haşlanmış",1,,
ingredient#nevo:3331,Artichoke hearts canned,"Enginar kalbi, konserve",1,,
ingredient#nevo:852,Salad celeriac,Salata kereviz,1,,
ingredient#nevo:1496,Salad fish,Salata balıklı,1,2,
ingredient#nevo:1497,Salad ham and leek,Salata jambon ve pırasa,1,,
ingredient#nevo:1498,Salad chicken curry,Salata tavuk körili,1,,
ingredient#nevo:1499,Salad egg,Salata yumurtalı,1,2,
ingredient#nevo:1876,Salad cucumber,Salata salatalık,1,2,
ingredient#nevo:1877,Salad meat,Salata et,1,2,
ingredient#nevo:2367,Peanut butter light,"Fıstık ezmesi, hafif",1,2,
ingredient#nevo:3175,Salad coleslaw,Lahana salatası,1,,
ingredient#nevo:3207,Hummus natural,"Humus, doğal",1,2,
ingredient#nevo:3229,Salad chicken satay,Salata Tavuk satay,1,,
ingredient#nevo:3230,Salad salmon,Salata somonlu,1,,
ingredient#nevo:3231,Salad tuna,Salata ton balıklı,1,,
ingredient#nevo:3232,Salad crab,Salata yengeç,1,,
ingredient#nevo:3233,Salad shrimp,Salata karides,1,,
ingredient#nevo:5074,Salad cheese,Salata peynir,1,,
ingredient#nevo:867,Linseeds,Keten tohumu,1,,
ingredient#nevo:1896,Pistachio nuts salted,"Fıstık, tuzlu",1,,
ingredient#nevo:2805,Poppy seeds,Haşhaş tohumları,1,,
ingredient#nevo:2886,Cashew nuts salted,"Kaju fıstığı, tuzlu",1,,
ingredient#nevo:2887,Almonds blanched salted,"Badem, kabuksuz, tuzlu",1,,
ingredient#nevo:3446,Hemp seed,Kenevir tohumu,1,,
ingredient#nevo:5050,Brazil nuts salted,"Brezilya fıstığı, tuzlu",1,,
ingredient#nevo:5110,Walnuts salted,"Ceviz, tuzlu",1,,
ingredient#nevo:5111,Nuts macadamia salted,"Macadamia fındık, tuzlu",1,,
ingredient#nevo:5113,Almonds w skin salted,"Badem, kabuksuz, tuzlu",1,,
ingredient#nevo:5158,"Pecannuts oil roasted, salted","Pikan cevizir yağ, kavrulmuş, tuzlu",1,,
ingredient#nevo:119,Peas marrowfat dried,"Bezelye, iri, kurutulmuş",1,,
ingredient#nevo:120,Lentils green and brown dried,"Mercimek, yeşil veya kahverengi, kurutulmuş",1,,
ingredient#nevo:196,Peas marrowfat canned,"Bezelye, iri, konserve ",1,,
ingredient#nevo:686,Peas split yellow/green dried,"Kırık bezelye, sarı ya da yeşil, kurutulmuş",1,,
ingredient#nevo:839,Beans soya dried,"kurutulmuş soya fasulyesi,",1,,
ingredient#nevo:969,Peas marrowfat boiled,"Bezelye, iri,haşlanmış",1,,
ingredient#nevo:970,Lentils green and brown boiled,"Mercimek, yeşil veya kahverengi, haşlanmış",1,,
ingredient#nevo:971,Beans soya boiled,"Soya fasulyesi, haşlanmış",1,,
ingredient#nevo:5169,Lentils brown canned,"Mercimek, kahverengi, konserve",1,,
ingredient#nevo:5170,Beans cannellini canned,"Cannellini fasulye, konserve",0,,
ingredient#nevo:5171,Beans chilli canned,"fasulye, acılı, konserve",1,,
ingredient#nevo:5172,Peas marrowfat young canned,"İri bezelye, genç, konserve",1,,
ingredient#nevo:5174,Lentils red boiled,"Mercimek, kırmızı, haşlanmış",1,,
ingredient#nevo:112,Eel,Yılan balığı,1,,
ingredient#nevo:347,Kipper smoked,"Kipper, füme",1,,
ingredient#nevo:348,Shrimps Dutch boiled,"Karides, haşlanmış",1,,
ingredient#nevo:349,Herring fillet in tomato sauce tinned,"Ringa fileto, domates sos içinde",1,,
ingredient#nevo:350,Herring salted,"Ringa, tuzlu",1,,
ingredient#nevo:353,Mackerel,Uskumru,1,,
ingredient#nevo:357,Stockfish soaked,"Stockfish, ıslatılmış",1,,
ingredient#nevo:602,Salmon tinned,"Somon, konserve",1,,
ingredient#nevo:603,Eel smoked,"Yılan balığı, tütsülenmiş",1,,
ingredient#nevo:604,Mackerel steamed,"Uskumru, buğulama",1,,
ingredient#nevo:702,Shrimps salted dried,"Karides, tuzlu, kurutulmuş",1,,
ingredient#nevo:703,Cod dried salted,"Morina Balığı, tuzlu, kurutulmuş",1,,
ingredient#nevo:813,Plaice,Plaice,1,,
ingredient#nevo:814,Fish fingers fried in sunflower oil,"Balık Kroket, ayçiçek yağında kızartılmış ",1,,
ingredient#nevo:815,Fish fingers unprepared,"Balık Kroket, hazırlıksız",0,,
ingredient#nevo:817,Plaice fried,"Plaice, kızarmış",0,,
ingredient#nevo:818,White fish fillet in batter deep-fried in vegetable oil,"Beyaz balık fileto meyilli, derin yağda kızartılmış",1,,
ingredient#nevo:819,Cod boiled,"Morina Balığı, haşlanmış",1,,
ingredient#nevo:820,Cod,Morina Balığı ,1,,
ingredient#nevo:822,Bloater fried,"Bloater, kızarmış",0,,
ingredient#nevo:918,Plaice boiled,"Pisi Balığı, haşlanmış",0,,
ingredient#nevo:919,Pollock (Atlantic) boiled,"Pollock balığı (Atlantik), haşlanmış",0,,
ingredient#nevo:1097,Caviar,Havyar,1,,
ingredient#nevo:1100,Herring pickled (sweet)sour,"Herring, salamura (tatlı) ekşi",0,,
ingredient#nevo:1101,Snails,Salyangozlar,0,,
ingredient#nevo:1310,Plaice fillet fried/simmered,"Plaice fileto, kızarmış / simmered",0,,
ingredient#nevo:1315,Cod fillet fried/simmered,"Morina fileto, kızarmış / simmered",0,,
ingredient#nevo:1583,Mussels fried in vegetable oil,"Bitkisel yağda kızartılmış midye,",1,,
ingredient#nevo:1585,Halibut smoked,"Halibut, füme",1,,
ingredient#nevo:1586,Mackerel fillet smoked,"Uskumru fileto, füme",1,,
ingredient#nevo:1605,Kippers steamed,"Çirozlar, buğulama",1,,
ingredient#nevo:1606,Herring smoked,"Herring, füme",0,,
ingredient#nevo:1607,Sprat fillet smoked,"Çaça fileto, füme",0,,
ingredient#nevo:1609,Mackerel in oil tinned,"Uskumru, yağ içinde, konserve",1,,
ingredient#nevo:1627,Soft/hard roe fried,"Roe, yumuşak / sert, kızarmış",0,,
ingredient#nevo:1628,Soft/hard roe from fat bloater,"Roe, şişman bloater gelen / yumuşak sert",0,,
ingredient#nevo:1629,Spawn/hard roe coloured glass,"Roe, spawn / sert, renkli cam",0,,
ingredient#nevo:1630,Mussels pickled glass,"Midye, turşu",0,,
ingredient#nevo:1899,Coquilles scallop shell St. Jacques,"Tarak midyesi, tarak kabuğu, St Jacques",0,,
ingredient#nevo:2296,Pollack (Atlantic),Sarı Mezgit Balığı (Atlantik),0,,
ingredient#nevo:2298,Sole,Sole,0,,
ingredient#nevo:2299,Tilapia,Tilapia,0,,
ingredient#nevo:3071,Tilapia prepared without fat,"Tilapia, yağsız hazırlanan",0,,
ingredient#nevo:3199,Anchovy,Hamsi,1,,
ingredient#nevo:3252,Surimi,Surimi,0,,
ingredient#nevo:3256,Sardines grilled,"Sardalye, ızgara",1,,
ingredient#nevo:3318,Pollock (Alaska),Sarı Mezgit Balığı (Alaska),1,,
ingredient#nevo:3319,Pollock (Alaska) steamed,"Sarı Mezgit Balığı (Alaska), buharda",1,,
ingredient#nevo:3320,Prawns cooked,"Karides, pişmiş",1,,
ingredient#nevo:3321,Lemon sole,Limon sole,0,,
ingredient#nevo:3322,Pangasius,Kedi Balığı (Asya),0,,
ingredient#nevo:128,Parsley fresh,"Maydanoz, taze",1,,
ingredient#nevo:429,Stock cubes,Stok küpleri,1,,
ingredient#nevo:694,Tamarind,Hint hurması,1,,
ingredient#nevo:704,Shrimp paste trassie,Karides ezmesi trassie,0,,
ingredient#nevo:823,Pepper black/white,"Biber, beyaz",1,,
ingredient#nevo:824,Mustard,Hardal,1,,
ingredient#nevo:825,Nutmeg powder,Küçük hindistan cevizi,1,,
ingredient#nevo:826,Cinnamon powder,Tarçın,1,2,
ingredient#nevo:827,Cumin seed dried,"Kimyon, tohum, kurutulmuş",1,,
ingredient#nevo:828,Cloves,Karanfil,1,,
ingredient#nevo:829,Chives fresh,"Chives, taze",1,,
ingredient#nevo:830,Garlic,Sarımsak,1,,
ingredient#nevo:831,Chervil fresh,"Chervil, taze",1,,
ingredient#nevo:832,Ginger root,Zencefil kökü,1,,
foodkg:ingredient#01256,"Yogurt, Greek, nonfat milk, plain","Yoğurt, Yunan, yağsız süt, sade",1,,
ingredient#nevo:842,Stock powder,"Bulyon, toz ",1,,
ingredient#nevo:858,Gravy instant powder,Grarvy hazır toz,1,4,
ingredient#nevo:859,Seasoning flavoured liquid,Çeşni aromalı sıvı,0,,
ingredient#nevo:860,Seasoning flavoured powder,Çeşni aromalı toz,0,,
ingredient#nevo:1213,Soy sauce salt,"Soya sosu, tuzlu",1,,
ingredient#nevo:1214,Soy sauce sweet low sodium,"Soya sosu, tatlı, düşük sodyum",1,,
ingredient#nevo:1215,Soy sauce sweet,"Soya sosu, tatlı",1,,
ingredient#nevo:1216,Monosodium glutamate Ve-tsin,"Çin Tuzu, monosodyum glutamat",0,,
ingredient#nevo:1220,Basil dried,"Fesleğen, kurutulmuş",1,,
ingredient#nevo:1221,Chilli powder,Acı biber tozu,1,,
ingredient#nevo:1223,Curry powder djawa,Köri tozu,1,,
ingredient#nevo:1224,Chervil dried,"Frenk maydanozu, kurutulmuş",1,,
ingredient#nevo:1225,Pepper red cayenne,"Biber, Kırmızı Cayenne",1,,
ingredient#nevo:1226,Marjoram dried,"Mercanköşk, kurutulmuş",1,,
ingredient#nevo:1227,Mustard low sodium,"Hardal, düşük sodyum",1,,
ingredient#nevo:1228,Oregano dried,"Kekik, kurutulmuş",1,,
ingredient#nevo:1229,Paprika powder,Kırmızı biber tozu,1,,
ingredient#nevo:1230,Parsley dried,"Maydanoz, kurutulmuş",1,,
ingredient#nevo:1231,Rosemary dried,"Biberiye, kurutulmuş",1,,
ingredient#nevo:1232,Pepper red hot paste,"Biber, kırmızı acı ezmesi",1,,
ingredient#nevo:1233,Pepper red hot paste low sodium,"Biber, kırmızı sıcak macun, düşük sodyum",1,,
ingredient#nevo:1234,Pepper red hot fried paste,"Biber, kırmızı acı kızarmış ezmesi",1,,
ingredient#nevo:1235,Celery leaves fresh,"Kereviz yaprakları, taze",1,,
ingredient#nevo:1236,Lemon grass powder,Limon otu tozu,0,,
ingredient#nevo:1501,Herb and dried vegetable mix unprepared,Baharat ve kurutulmuş sebze karışımı,1,,
ingredient#nevo:1879,Seasoning flavoured pow l sodium,"Baharat, Aromalı Toz, Düşük Sodyum",0,,
ingredient#nevo:1883,Stock powder low sodium,"Stok, toz, düşük sodyum",1,,
ingredient#nevo:1891,Horse-radish,Horseradish,0,,
ingredient#nevo:2177,Basil fresh,"Fesleğen, taze",1,,
ingredient#nevo:2473,Herb paste boemboe,Boemboe bitki ezmesi,0,,
ingredient#nevo:2671,Mix rice/Chinese noodles unprepared,Pirinç / erişte karışımı,1,,
ingredient#nevo:3352,Soup instant powder,Hazır çorba tozu,1,,
ingredient#nevo:3450,Mint fresh,"Nane, taze",1,,
ingredient#nevo:5153,Sauce oyster,istiridye sosu,1,,
ingredient#nevo:5156,Anise seed,Anason tohumu,1,,
foodkg:ingredient#02044,Basil,Fesleğen,1,,
foodkg:ingredient#02048,Vinegar,Sirke,1,,
foodkg:ingredient#02055,Horseradish,Yabanturpu,1,,
foodkg:ingredient#04038,Wheat germ oil,Buğday tohumu yağı,1,,
foodkg:ingredient#04042,Peanut oil,Fıstık yağı,1,,
foodkg:ingredient#04053,Olive oil,Zeytin yağı,1,,
foodkg:ingredient#04506,Sunflower oil,Ayçiçek yağı,1,,
foodkg:ingredient#04511,Safflower oil,Aspur yağı,1,,
foodkg:ingredient#04518,Corn oil,Mısır yağı,1,,
foodkg:ingredient#04528,Walnut oil,ceviz yağı,1,,
foodkg:ingredient#05000,"Chicken breast, rotisserie, skin not eaten","Tavuk göğsü, derisiz",0,,
foodkg:ingredient#05319,"Chicken drumstick, rotisserie, skin not eaten","Tavuk baget, derisiz",0,,
foodkg:ingredient#05334,"Chicken thigh, rotisserie, skin not eaten","Tavuk but, derisiz",0,,
foodkg:ingredient#05335,Chicken feet,Tavuk ayağı,0,,
foodkg:ingredient#05342,"Chicken breast, baked or broiled, skin not eaten, from pre-cooked","Pişmiş veya ızgara tavuk göğsü, derisiz",1,,
foodkg:ingredient#05362,"Chicken wing, rotisserie","Tavuk kanat, et lokantası",1,,
ingredient#compid:03.01.0014,"Veal, rib",Kırmızı et yarım yağlı,1,,
ingredient#compid:03.01.0006,"Veal, leg","Kırmızı et, az yağlı",1,,
ingredient#compid:03.01.0040,"Chicken, breast",Tavuk göğüs eti,1,,
ingredient#compid:03.01.0039,"Chicken, thigh",Tavuk but,1,,
ingredient#compid:04.01.0005,European anchovy,"Hamsi, karadeniz",1,,
ingredient#compid:04.01.0001,"Rainbow trout, aquaculture",Alabalık,1,,
ingredient#compid:04.02.0002,"Tuna fish, canned","Ton balığı konservesi, az yağlı",1,,
ingredient#compid:08.02.0028,"Green bean, canned",Kuru fasulye,1,,
ingredient#compid:08.02.0055,"Chick pea, boiled, canned",Kuru nohut,1,,
ingredient#compid:07.02.0001,"Lentil seed, green, dried",Kırmızı/yeşil mercimek,1,,
ingredient#compid:09.02.0057,"Hazelnut, roasted",Fındık,1,3,
ingredient#compid:09.01.0010,"Wallnut, shelled, dried",Ceviz,1,3,
ingredient#compid:09.01.0007,Green almond,Tatlı badem,1,,
ingredient#compid:09.01.0064,"Apple, Fuji",Elma,1,"2,3",
ingredient#compid:09.01.0041,"Orange, Navelina Navel",Portakal,1,"2,3",
ingredient#compid:09.01.0003,"Pear, summer variety",Armut,1,"2,3",
ingredient#compid:09.01.0044,"Peach, early season",Şeftali,1,,
ingredient#compid:09.01.0034,"Tangerine, Nova",Mandalina,1,,
ingredient#compid:12.02.0083,"Figs, dried",İncir (kuru),1,3,
foodkg:ingredient#08084,"Wheat germ, plain","Buğday tohumu, düz",1,,
ingredient#compid:09.01.0029,Kiwi,Kivi,1,2,
ingredient#compid:09.01.0002,Pineapple,Ananas,1,,
ingredient#compid:08.01.0033,"Melon, summer",Kavun,1,2,
ingredient#compid:08.01.0029,"Watermelon, seeded",Karpuz,1,2,
ingredient#compid:09.01.0028,"Sweet cherry, red",Kiraz,1,,
ingredient#compid:09.01.0012,Strawberry,Çilek,1,2,
ingredient#compid:09.01.0053,"Grape, pink-red",Üzüm,1,2,
ingredient#compid:09.02.0006,"Plum, dried",Malta eriği (kuru),1,,
ingredient#compid:09.01.0016,"Plum, European plum group, Stanley",Erik,1,,
ingredient#compid:09.01.0038,Banana,Muz,1,2,
ingredient#compid:09.01.0047,"Persimmon, kaki, Pollination variant",Trabzon hurması,1,,
ingredient#compid:09.02.0028,"Apricot, dried",Kayısı (kuru),1,,
ingredient#compid:09.02.0045,"Raisin, seedless, Sultaniye, dried",Çekirdeksiz kuru üzüm,1,,
ingredient#compid:09.02.0038,Orange juice,Portakal suyu (sıkılmış),1,2,
ingredient#compid:08.01.0023,Spinach,Ispanak,1,,
ingredient#compid:08.01.0054,Chard,Pazı,1,,
ingredient#compid:08.01.0012,Broccoli,Brokoli,1,,
ingredient#compid:08.01.0026,"Summer squash, dark green",Yeşil kabak,1,,
ingredient#compid:08.01.0059,Purslane,Semizotu,1,,
ingredient#compid:08.01.0004,Fresh peas,"Taze bezelye, pişmiş",1,,
foodkg:ingredient#08120,Oats,Yulaf,1,2,
ingredient#compid:08.01.0043,"Lettuce, crisp",Kıvırcık marul,1,,
ingredient#compid:08.01.0044,"Lettuce, cos",Marul (uzun yapraklı),1,,
ingredient#compid:08.01.0045,Parsley,Maydanoz,1,,
ingredient#compid:08.01.0062,Cress,Bahçe teresi,1,,
ingredient#compid:08.01.0057,"Rocket, arrugula",Roka,1,,
ingredient#compid:08.01.0005,"Pepper, Charleston type",Çarliston biber,1,,
ingredient#compid:08.01.0009,"Pepper, long",Yeşil sivri biber,1,,
ingredient#compid:08.01.0015,"Tomato, red",Domates,1,3,
ingredient#compid:08.02.0035,"Tomato, chopped, canned","Domates, doğranmış, konserve",1,,
ingredient#compid:08.01.0020,"Carrot, orange",Havuç,1,,
ingredient#compid:08.02.0042,"Pepper, red, hot, dried flakes","Kırmızı biber, acılı, pul",1,,
ingredient#compid:08.02.0040,"Pepper,red, block, dried","Kırmızı biber, dolmalık, kuru",1,,
ingredient#compid:08.01.0064,"Radish, red, large",Turp,1,,
ingredient#compid:08.01.0024,"Pumpkin, winter",Balkabağı,1,,
ingredient#compid:08.01.0051,"Potato,yellow, Marfona, Granola, Marabel","Patates, sarı",1,,
ingredient#compid:08.01.0069,"Corn, sweet","Mısır, tatlı",1,,
ingredient#compid:08.01.0035,"Celery, stem",Kereviz,1,,
ingredient#compid:08.01.0034,"Celery, root",Kereviz kökü,1,,
ingredient#compid:08.01.0037,"Cabbage, white",Beyaz lahana,1,,
ingredient#compid:08.01.0028,Cauliflower,Karnabahar,1,,
ingredient#compid:08.01.0041,"Mushroom, white",Mantar,1,,
ingredient#compid:08.01.0061,"Onion, purple, dried",Kurusoğan,1,,
ingredient#compid:08.01.0052,"Eggplant, aubergine, long",Patlıcan,1,,
ingredient#compid:08.02.0034,Tomato juice,Domates suyu,1,,
ingredient#compid:06.02.0027,"Bread, whole wheat",Tam buğday  ekmeği,1,"2,3",
ingredient#compid:06.02.0009,"Bread, wheat, white",Beyaz ekmek,1,"2,3",
ingredient#compid:06.02.0034,Pide bread,"Pide, lavaş, bazlama",1,,
ingredient#compid:12.02.0058,Bulgur,Bulgur,1,,
ingredient#compid:06.02.0003,"Rice, white",Beyaz pirinç,1,,
ingredient#compid:13.02.0014,"Pasta, low protein","Makarna , hazır erişte pişmiş",1,,
ingredient#compid:06.02.0023,Galeta (grissini),"Galeta ekmeği , grissini",1,,
ingredient#compid:06.02.0032,Oat bran,Yulaf ezmesi,1,,
ingredient#compid:06.02.0019,Corn flakes,Mısır gevreği ,1,2,
ingredient#compid:12.02.0021,Simit,Simit,1,3,
ingredient#compid:06.02.0038,Yufka,Yufka,1,,
ingredient#compid:12.02.0030,"Chips, corn","Patlamış mısır, popcorn",1,,
foodkg:ingredient#09003,"Apple, baked, unsweetened","Elma, pişmiş, şekersiz",1,,
foodkg:ingredient#09021,Apricot,Kayısı,1,,
foodkg:ingredient#09037,Avocado,Avokado,1,"2, 4",
foodkg:ingredient#09042,Youngberries,Youngberries,1,,
foodkg:ingredient#09048,"Blackberries, frozen","Böğürtlen, dondurulmuş",1,,
foodkg:ingredient#09050,Huckleberries,Huckleberries,1,,
foodkg:ingredient#09054,"Blueberries, frozen, unsweetened","Yaban mersini, donmuş, şekersiz",1,2,
foodkg:ingredient#09057,"Boysenberries, frozen","Çilekler, dondurulmuş",1,,
foodkg:ingredient#09060,Starfruit,Karambol,1,,
foodkg:ingredient#09063,"Cherries, sour, red","Kiraz, ekşi, kırmızı",1,,
foodkg:ingredient#09068,"Cherries, frozen","Kiraz, dondurulmuş",1,,
foodkg:ingredient#09070,"Cherries, sweet","Kiraz, tatlı",1,,
foodkg:ingredient#09078,Cranberries,Kızılcık,1,,
foodkg:ingredient#09084,Currants,Kuş üzümü,1,,
foodkg:ingredient#09087,Date,Hurma,1,,
foodkg:ingredient#09089,Fig,İncir,1,,
foodkg:ingredient#09111,Grapefruit,Greyfurt,1,,
foodkg:ingredient#09131,"Grapes, American type, slip skin","Üzüm, Amerikan tipi",1,2,
foodkg:ingredient#09132,"Grapes, European type, adherent skin","Üzüm, Avrupa tipi",1,2,
foodkg:ingredient#09139,Guava,Guava,1,,
foodkg:ingredient#09148,Kiwi fruit,Kivi meyvesi,1,,
foodkg:ingredient#09149,Kumquat,Kamkat,1,,
foodkg:ingredient#09150,Lemon,Limon,1,,
foodkg:ingredient#09159,Lime,Misket limonu,1,,
foodkg:ingredient#09164,Longans,Longans,1,,
foodkg:ingredient#09167,"Loganberries, frozen","Karadut, dondurulmuş",1,,
foodkg:ingredient#09181,"Cantaloupe, frozen","Kavun, dondurulmuş",1,,
